mass_A
t	x	y	v	θ_{r}
0.0	0.35949310719073213	0.3722561760850775		0.8028382554731504
0.02000000000000002	0.359547561156604	0.37228117868108723		0.802796131021519
0.03	0.3606329279626179	0.3711206111418642	0.07967736880025071	0.7997294438117354
0.04000000000000001	0.36063490873900683	0.371116245861301	0.0809124146820762	0.7997208198607191
0.04999999999999999	0.36174484057597567	0.36994486547203176	0.08159698731224053	0.7966046646736895
0.06	0.3618609444526387	0.3700391832984605	0.08201008547182338	0.7965716803688727
0.06999999999999997	0.36303016999840665	0.36892594941883045	0.24225744637334692	0.7934528155309374
0.08000000000000002	0.365256885124269	0.36658331074813383	0.32430630920144254	0.7872106139555342
0.09	0.36747501481824196	0.3642022657500473	0.16266542723055655	0.7809252525538386
0.09999999999999998	0.3674849740135291	0.36421273352138167	0.1655291505782345	0.7809260724725702
0.11000000000000001	0.36971195459196515	0.36176176163712387	0.32545530074982654	0.7745298577424171
0.12	0.3720714236981346	0.35959397390379544	0.3245647380342036	0.7683463245709908
0.13000000000000003	0.37437985828023557	0.35725093213168746	0.32448298536114245	0.7619904585442101
0.13999999999999993	0.3766878154312212	0.35503276677385254	0.5198568047982229	0.7558121023503278
0.15	0.38125514648598613	0.3494515186225912	0.3619012722834804	0.7419011358570361
0.15999999999999998	0.3812533779236795	0.34941630423239306	0.24774834891034264	0.7418532494636203
0.17000000000000004	0.38466649668260866	0.34585785926323004	0.6071080289836985	0.732323696742552
0.18	0.3892691392193631	0.3402960172635959	0.6412691982398454	0.7183722606928726
0.18999999999999997	0.392831127126791	0.33596699056758966	0.6180393069918968	0.7075313827145132
0.19999999999999996	0.39722062239052847	0.3308322469064135	0.7088707261871886	0.6944634440933573
0.21	0.4017329977692886	0.32493269033412214	0.3674365081783796	0.6801004252355177
0.21999999999999997	0.40177473286305676	0.325064759340676	0.3551337577590048	0.6802483312079989
0.23000000000000004	0.4065342331815407	0.31969855880385384	0.8473095555535449	0.6663931284254391
0.24	0.41221943075335843	0.3117200345719419	0.9887612492831562	0.6474568530184859
0.24999999999999997	0.41785962360196205	0.30348760401832003	0.9963883224368646	0.6281537586807059
0.26	0.423552723146842	0.29532880645568327	1.027127170233378	0.608888537947101
0.27	0.42939350187385794	0.2864886116498959	0.5308647339092928	0.5883673395187973
0.2800000000000001	0.4293761401390196	0.2864510386721325	0.5541828383728439	0.5883254546336758
0.2899999999999999	0.4350689475686874	0.2769682774381241	1.2112959181749678	0.5669029720789609
0.3	0.4419788158315331	0.2657612420094232	1.2969650697565258	0.5413738042284038
0.30999999999999994	0.44784852528784425	0.2543955117638109	1.4016679357414101	0.516587308701219
0.32	0.4545751838335931	0.24071726640667757	1.523707500192929	0.48700200626118006
0.33	0.4614470276961813	0.22712364804480317	0.7654492423955208	0.4573871509884516
0.33999999999999997	0.46143222196638867	0.22702982526090693	0.8179663392694032	0.4572361756876189
0.3499999999999999	0.46821170693871605	0.21222845796153356	1.6216457600443785	0.4255737178417267
0.36	0.4743810787067737	0.1972939698411455	1.7042591976515782	0.39413567326103666
0.36999999999999994	0.4808725660541263	0.1805819350629317	1.8600737219349788	0.35923499227192784
0.37999999999999995	0.4875633043901212	0.16250634809940373	1.9345936020598586	0.3217233207061927
0.39	0.49411402123979353	0.14422640141785437	0.9718477766564967	0.28399891333527105
0.4000000000000001	0.4942681150150635	0.1442624243196755		0.28398221730524226
