Kompakt_Kule
t	x	y	θ_{r}	v
0.0	0.050079826987459275	0.513827979237558	1.4736390040740346	
0.01	0.05011561766655692	0.5138204919794425	1.4735685971554846	0.0025329062951080787
0.020000000000000226	0.050128917454733024	0.5138154743687954	1.473542013283797	0.0017218338422205646
0.030000000000000228	0.05014925923785574	0.5138131347114281	1.4735023568062162	0.004970145301222081
0.04000000000000023	0.05022132890373665	0.5137788538578876	1.4733569579706478	0.0047536981132765945
0.050000000000000225	0.05023489217162258	0.5137718302448979	1.4733294848522966	9.366721562916868E-4
0.06000000000000023	0.05023983939955501	0.5137817354261942	1.4733218141788944	0.0027605227142450473
0.07000000000000023	0.050289498334849525	0.5137799764832921	1.473225744828565	0.005053910028017734
0.08	0.05033612028648182	0.5137509654174015	1.4731303839280547	0.007457354554879483
0.09	0.05043845978074901	0.5137874157318026	1.4729399798303824	0.0030950828864797783
0.1	0.050392549651251506	0.5137764122643841	1.4730264033776632	0.001795348523200536
0.11	0.05047044807331469	0.5137711043962767	1.4728752258200828	0.0021962056496293322
0.12	0.05043642320857611	0.513778519079485	1.4729422222089104	0.00409480142711609
0.13	0.05038864083229355	0.5137672919420128	1.4730322144787948	0.0015617153834680587
0.14	0.050465260060409745	0.5137665183315121	1.4728843588073108	0.003199071583487083
0.15	0.05045071896559217	0.5137827815825727	1.4729154700017089	0.001403121594516322
0.16	0.05044214985189466	0.5137824374503944	1.4729319240911911	0.011875673095721632
0.17	0.05068034466885518	0.5138434831557943	1.472484366515957	0.028071099959894978
0.18	0.05100239822766006	0.5138187199342626	1.4718589516852751	0.023565851688371497
0.19	0.05115093120240555	0.5138172522434893	1.4715724220801805	0.013410715982710097
0.2	0.05127059385068555	0.5138218868029877	1.471342714393348	0.016384374301595252
0.21	0.051477000222535096	0.5137847240616512	1.4709378079346018	0.019726610192311995
0.22	0.05166105928645015	0.5137653854459694	1.4705793924629287	0.021512788108958653
0.23	0.051899361922728704	0.5138667643876984	1.4701399492311933	0.027471490112243622
0.24	0.05220749119527979	0.5138227027784934	1.4695377877169793	0.02363509314635602
