mass_A
t	x	y	v	θ_{r}
0.0	0.03110343219920575	0.5398667160290693		1.5132467761117059
0.00999999999999991	0.031091994222708697	0.5398652245710156	4.1787975654462357E-4	1.5132677341324845
0.01999999999999982	0.031095153937050868	0.5398655672157392	2.4118601012371155E-4	1.5132619371352047
0.029999999999999725	0.03108759079299428	0.539867193855998	9.010248836343558E-4	1.5132760730630128
0.03999999999999991	0.031077509570261452	0.5398692298182254	4.97702852495228E-4	1.513294901265024
0.049999999999999815	0.031077667998064662	0.5398679821405518	8.635603773035912E-4	1.513294476180074
0.06	0.031094725847909732	0.5398678534483496	0.0035513502868510477	1.513262970574377
0.0699999999999999	0.031148685267735954	0.539866806150582	0.0048910793068341	1.513163240755746
0.07999999999999982	0.031192417065782907	0.5398628048183621	0.0051997446137572265	1.5130820782944785
0.09	0.031252496847892774	0.5398606341618688	0.006381078713773282	1.5129709301706915
0.0999999999999999	0.03131986483061222	0.5398561464806895	5.421817636332909E-4	1.512846079491495
0.10999999999999982	0.03126224928207111	0.5398558934389783	0.008362678360683065	1.5129524189838093
0.11999999999999972	0.031487051809293454	0.5398514273806535	0.025257514651966333	1.5125369277353962
0.12999999999999992	0.0317673063080286	0.5398656000907527	0.02634599545092604	1.5120211102483525
0.1400000000000001	0.032013796080745505	0.5398650311673516	0.025795405749267773	1.511566059449231
0.15	0.032283213935015875	0.5398648904964051	0.0273523506582005	1.5110687606650786
0.15999999999999992	0.03255746849444752	0.5398043620550204	0.014932693752589054	1.5105558425065415
0.1699999999999998	0.032579572334941354	0.5398279332795587	0.0106286171954762	1.5105176689209785
0.17999999999999972	0.03276839290877709	0.5398307797164411	0.015682021989879398	1.5101694853654657
0.18999999999999992	0.03289315361977174	0.5398340245257799	0.016680775148529142	1.509939591139088
0.1999999999999998	0.03310072488515048	0.5398600160175415	0.03444480069096291	1.5095594539912356
0.21	0.033581878256778386	0.5398493898190129	0.03776021182480741	1.5086703650556899
0.21999999999999992	0.03385577236481396	0.5398446295859987	0.04291187759217793	1.5081644330237192
0.2299999999999998	0.03444007199917953	0.5398580613758412	0.0439874304413663	1.5070879796205736
0.24	0.034735467251359675	0.5398543517935137	0.02608896191586774	1.506542604085239
0.2499999999999999	0.03496163114743467	0.5398429078808507	0.020640301872338673	1.5061240403822884
0.25999999999999984	0.03514794359953355	0.5398378567412359	0.024866185822301757	1.505779759428002
0.26999999999999974	0.03545888276689646	0.5398513758134423	0.03925398313734634	1.5052078638551458
0.27999999999999986	0.035932959549860755	0.5398478584706221	0.037715613218585985	1.5043330931711931
0.29000000000000004	0.03621288241797116	0.5398296613399074	0.027210615975529255	1.5038146252455904
0.3	0.036473965695270394	0.5397888720371302	0.041835592309597665	1.5033280849360267
0.3099999999999999	0.03704957718481838	0.5398243152489645	0.029748240678775583	1.502271129408413
0.31999999999999984	0.03706716859401693	0.5398346262753133	0.05998325459777194	1.5022400003508336
0.32999999999999974	0.038249110843100675	0.5398065575603663	0.08784123209792466	1.5000574858033344
0.3399999999999999	0.03882382139959095	0.5398100550876829	0.06317183920895157	1.4989986877693071
0.3499999999999998	0.039512310444177134	0.539831037663654	0.07355243315809751	1.497732769212465
0.36	0.040294343035204516	0.5397706813834781	0.08444034736469473	1.4962836798500105
0.3699999999999999	0.041191455689220446	0.5396506487746491	0.044733023105303325	1.4946141947447615
0.37999999999999984	0.04118766269018492	0.5397217187805896	0.012894330385695823	1.494631174569659
0.39	0.04141335511277311	0.5397820494910291	0.06777749412733315	1.4942239704183389
0.3999999999999999	0.04254139336293106	0.5397919238355259	0.10442198395816667	1.4921481633876263
0.4099999999999998	0.04350133157280178	0.5398260335321097	0.08129125813209784	1.490386099425865
0.4199999999999997	0.04416682480939538	0.5397561457371362	0.0657280756234661	1.4891508594990646
0.4299999999999996	0.04481557258396762	0.5397970070849386	0.04823483539146178	1.4879632854932057
0.44000000000000006	0.04512936279209423	0.5398206466670404	0.07120547299882433	1.4873896169253422
0.45	0.046239615111346666	0.5398108141197535	0.100283831612398	1.4853459883558553
0.4599999999999999	0.0471344796968749	0.5397732657499072	0.09669649992926196	1.483694531273808
0.46999999999999975	0.04817352894045279	0.5398029058317146	0.10813900608503281	1.481789307852964
0.4799999999999997	0.04929269777272405	0.5396328642118049	0.11869947498231158	1.4797042422239346
0.4899999999999999	0.050545057647340075	0.5396948422539465	0.058821773361417175	1.4774138341386491
0.4999999999999998	0.050463135149341753	0.5397515097172787	0.0515103842500499	1.4775740421569905
0.51	0.05157089193367259	0.5397896678370964	0.10206455197573389	1.475546563204583
0.5199999999999999	0.05250433709611568	0.5397324382598316	0.11632892092763014	1.4738229941905372
0.5299999999999998	0.05389525558476582	0.5396881752011496	0.13185400180173784	1.4712626310902626
0.54	0.0551410692258919	0.5396896037847084	0.13816875726417333	1.4689778227553565
0.5499999999999999	0.0566446009048569	0.5394100699972001	0.06908058679138807	1.466167670515409
0.5599999999999997	0.056520067556476206	0.5396046650254598	0.07135450790317402	1.4664334039076115
0.5699999999999996	0.05806036614551846	0.5395894999349926	0.1230609737987992	1.4636077395665061
0.5799999999999996	0.058908767567608766	0.5390116105880436	0.11753427439189364	1.461938019896561
0.5900000000000001	0.06025911311947918	0.5387580950954408	0.16173445046913157	1.4594110830760438
0.6	0.062129067538845506	0.5387068466094085	0.13633691278609408	1.4559736068475269
0.6099999999999999	0.06298456052866097	0.5386742026941095	0.07895031042977955	1.454399697780133
0.6199999999999998	0.06370572454277379	0.538620746094037	0.1142916243796844	1.4530676073746867
