Kompakt_Sylinder
t	x	y	θ_{r}	v
0.0	0.38283345384193856	0.381291268873119	0.783379928901086	
0.01	0.3838122852475737	0.38109132322497347	0.7818409170785232	0.12314396730699406
0.02	0.3844337564282293	0.3794191560811235	0.7788333807963053	0.18804137914351912
0.03	0.3855481134833999	0.3777550491888985	0.7751888600472143	0.24797631328881772
0.04	0.38774332133045053	0.3757254207171713	0.7696582810928734	0.3212714442644463
0.05	0.38997201703673967	0.3730950906364378	0.7632845443807216	0.3645301758056494
0.060000000000000116	0.3925612179953383	0.3702536046241704	0.7561626834227091	0.4232252931431788
0.07000000000000012	0.39579745617336803	0.3669540713099829	0.7476012567545247	0.4674017257041613
0.08000000000000011	0.3989102839558155	0.3633924741993788	0.7388390488251471	0.5331405125238646
0.09000000000000011	0.4028713464990704	0.3589756254652324	0.7278442916782482	0.602456983661646
0.1	0.40710590569414806	0.3545599461814644	0.7165190943168359	0.6453340019497215
0.11	0.41159353868352755	0.34946217429720877	0.7039404184642261	0.7208415803695163
0.12	0.41679472066271506	0.34388418400255094	0.6898407863317668	0.7915226686173784
0.13	0.42199334273545885	0.33752704423275176	0.6746432131894449	0.8429988428830304
0.14	0.4272681326281179	0.3306718238256633	0.6586356678542368	0.9223429772133612
0.15	0.4334454539030871	0.3230655167598252	0.6405139333295053	0.9894972234600422
0.16	0.4393577213904666	0.3150039029153656	0.6220210509953163	1.040773559558727
0.17	0.44571894880761975	0.30625346263966996	0.6020156360932579	1.1076200266623255
0.1800000000000001	0.4520365256208395	0.29683864011315825	0.5810495807691085	1.1701781483310474
0.1900000000000001	0.4585142913182719	0.2866573923813836	0.5587341180019145	1.2612493961146405
0.20000000000000012	0.4655342186677055	0.2755287293181219	0.5344089629512367	1.3441671804122983
0.2100000000000001	0.47256818493106867	0.2637401011391968	0.5090404162483955	1.414264265131368
0.2200000000000001	0.4796032604849393	0.25099060740555584	0.48213666653612036	1.498595497927868
0.23000000000000012	0.48658398370252176	0.2372472196167575	0.4536600092003924	1.5803312131136769
0.24	0.4936027270964326	0.22265346513873208	0.4237502560137769	1.6565328448123682
0.25	0.5000037784235242	0.2069561394771685	0.3924392224680564	
