mass_A
t	x	y	θ_{r}	v
0.0	0.20883733048038067	0.4998765889158049	1.1750588351379174	
0.00999999999999998	0.20885128904472317	0.499878749649983	1.1750365984795859	8.129312807050562E-4
0.01999999999999996	0.20885337975574259	0.49987918962094335	1.1750333507143793	0.0038884657361818835
0.030000000000000002	0.2089283082566793	0.4998895249598269	1.17491309772552	0.006913387924396906
0.03999999999999999	0.20898941267107018	0.4999039488411403	1.1748193116248387	0.004453078405860458
0.05000000000000003	0.2090159314987019	0.499905466426916	1.1747752370758195	0.029161836451890234
0.060000000000000005	0.20952991910377872	0.49968481902048756	1.1737429687535086	0.14188701011468727
0.06999999999999998	0.21164716616238644	0.4988427465201019	1.1695388000791518	0.10994805035733517
0.08000000000000003	0.21150021705593602	0.4987084197729066	1.1696916737719356	0.1309904807338679
0.09000000000000001	0.21397427443449646	0.4976394304739057	1.164716382102032	0.12951247726378037
0.10000000000000006	0.21383397851442087	0.4975846092187245	1.1649143774993505	0.028689988996697807
0.10999999999999997	0.21444151307572779	0.49730636255351635	1.163680863090687	0.17293276496837043
0.12000000000000001	0.21701597259457572	0.496229171963186	1.1585284662095774	0.2771494754655143
0.13	0.21952631957355306	0.49509967372633695	1.1534459783760889	0.27521034654295173
0.14000000000000007	0.22202107772552182	0.4939389281844818	1.1483658082806292	0.27342915596831735
0.15000000000000002	0.22448600146660636	0.49279599040323496	1.1433487342555861	0.134950420585116
0.16	0.22445090582447735	0.4927639465608101	1.1433831850442147	0.13354348194770435
0.16999999999999998	0.22685703503170485	0.4915664602240758	1.1384217455385717	0.2749575196036519
0.18000000000000002	0.2294264859075702	0.4904220973189999	1.1332271555557294	0.29716870477013635
0.19	0.2321988559958258	0.48896095750383506	1.1274441076850117	0.30456906524395916
0.19999999999999998	0.23494745950274165	0.4878484274173127	1.1219773443845644	0.2899802195260353
0.21000000000000002	0.23754700394769312	0.4867175840236751	1.1167468931053062	0.14150968554109863
0.22000000000000008	0.2375422697177495	0.48671840246676185	1.1167554115691818	0.1390752586249663
0.23	0.24006413917227742	0.48553402951044083	1.1116120747066665	0.38884536930767766
0.24000000000000002	0.2443810116023296	0.4830154444695791	1.1024011309955084	0.5194314183366657
0.2500000000000001	0.24924956036639956	0.48068102664328016	1.092431522429097	0.49472686189827936
0.26	0.25316456287908795	0.4784601075860935	1.084122155598406	0.36713769014757847
0.2700000000000001	0.2557084420909068	0.4771883370951546	1.0788701923950479	0.1385776319575877
0.28000000000000014	0.255621077182001	0.47717673643511155	1.0790023227406809	0.25638693702628546
0.29	0.26021777062574536	0.4747470954528794	1.0693986234604278	0.4958977138147948
0.30000000000000004	0.2643725429325142	0.47251008193276306	1.0606836388618601	0.4866480490658228
0.30999999999999994	0.26871388284029263	0.46999876872637353	1.0514206271862638	0.58859931727922
0.3200000000000001	0.2744009435335002	0.4663447884355505	1.038944057487249	0.567349385237478
0.33000000000000007	0.2783580389313991	0.4640201080684909	1.0304624412928027	0.22715777100161208
0.33999999999999997	0.2783002683538983	0.4640133667414773	1.030547591651372	0.34012687355023696
0.35	0.28411847719048444	0.46040183954505487	1.0178910091957438	0.5606922779501489
0.36000000000000004	0.28774229609223434	0.45796370192351726	1.0098217005746382	0.6481417221944019
0.3700000000000001	0.2949623293767173	0.4532993085466864	0.9939284448602939	0.7717795205160051
0.38	0.3007106461696528	0.4495923610760373	0.9812824851342481	0.6423656426778482
0.39000000000000007	0.30551388356880416	0.4459700417560296	0.9701713299275445	0.30248350754828895
0.40000000000000013	0.3055765300581271	0.4459976868321909	0.9701046340486366	0.41758124227674187
0.41	0.31229603630450364	0.4410964351007693	0.9547217516620389	0.8177993114673481
0.42000000000000004	0.3189220026814513	0.43654164929024497	0.9398501570114508	0.7930801565231446
0.4300000000000001	0.3251775836025911	0.4318413719958817	0.9253764583592059	0.7667701712737661
0.44	0.3308370375388787	0.42688729573506734	0.9114871609476722	0.8428234862203768
0.45000000000000007	0.33807354653686716	0.4209862021875534	0.8941975603978018	0.4662301602409396
0.46	0.33804883903983984	0.4209764460467356	0.8942219273371542	0.46507664617978633
0.4700000000000002	0.3451512224306956	0.4149508878899666	0.8769706680785884	1.0130672036930073
0.48000000000000004	0.35339485933268955	0.40774686839471685	0.8566856847509862	1.058244005792243
0.49	0.3608192779309076	0.4007218968097686	0.8377474823140331	1.0237527457350901
0.5000000000000001	0.36814594173371507	0.39354709932060117	0.8187340956141572	1.0217893591960188
0.51	0.3753433014066423	0.3863457311212829	0.7998419378455508	0.5063445977989496
0.5200000000000001	0.3752427654037206	0.3863229014769011	0.7999462908245626	0.5903149108789759
0.53	0.3836380703369092	0.37794421423467844	0.7779219521809388	1.3091498564558202
0.5400000000000001	0.3932014409170095	0.3672694159041321	0.7513114124430263	1.431278281948687
0.5500000000000002	0.4025148135196728	0.3564246516238075	0.7247429630544506	1.396865538824228
0.56	0.41132953011021434	0.34601228261610184	0.6993656530198107	1.449877644877545
0.5700000000000001	0.4205679277026029	0.33373229294639484	0.6707819281881892	0.76969138074208
0.5800000000000001	0.42051567055527106	0.3336597625347924	0.6707365996502287	0.819242873345563
0.59	0.4298109470090843	0.32020342942017777	0.6402848539594219	1.6716621533318552
0.6000000000000001	0.4396404611915107	0.306236704261273	0.6084146468712444	1.6411514788844415
0.61	0.44800211526431144	0.29288250944723665	0.5790086706378746	1.7420749470769148
0.6200000000000002	0.45771702654592517	0.2764513415224911	0.5433398914741814	1.92805999076146
0.6300000000000001	0.4670504415090877	0.25935450028381307	0.5069054750720426	0.9727022252508639
